Date,% change Food Retailing,% change Household Good Retailing,"% change Clothing, Footwear and Personal Accessory Retailing",% change Department Stores,% change Other Retailing,"% change Cafes, Restaurants and Takeaway",% change Total Industry,% change Food Retailing Seasonal,% change Household Goods Retailing Seasonal,"% change Clothing, Footwear and Personal Accessory Retailing Seasonal",% change Department Stores Seasonal,% change Other Retailing Seasonal,"% change Cafes, Restaurants and Takeaway Seasonal",% change Total Industry Seasonal
2019-11-01 00:00:00,0.7,7.9,13,18.2,8.3,0.6,4.9,0.4,1.1,3.5,3.9,-0.7,1.3,0.9
2019-12-01 00:00:00,14.2,16.5,44.5,54.4,17.7,7.9,19.2,0,-0.6,-2.1,-3.3,0.3,-0.9,-0.5
2020-01-01 00:00:00,-12.9,-24.3,-39.9,-49.7,-27,-11.4,-22.4,0.1,-1.2,-1.3,-3.3,-0.4,0,-0.5
2020-02-01 00:00:00,-4.4,-7.6,-17.7,-16.7,-4.2,-6.9,-6.9,0.7,0.8,-2.8,4.3,0.6,0.7,0.6
2020-03-01 00:00:00,29.3,12.8,-15.5,5.2,21.1,-17,14.7,23.7,8.2,-22.3,-8.7,16.3,-22.9,8.1
2020-04-01 00:00:00,-18.6,-4.6,-51.5,-5.2,-17.1,-36.6,-19,-17.1,0.8,-54,-15.2,-13.8,-35.4,-17.4
2020-05-01 00:00:00,7.3,23.7,147.3,44.2,13.3,31,19.3,7,16.3,131.4,43.8,8.6,30.5,16.6
2020-06-01 00:00:00,-4.5,2.7,18.1,-8.2,0.3,24.5,1.4,0.9,-3.7,20.8,-10.7,0.1,28,2.7
2020-07-01 00:00:00,6.2,0.1,2.4,-1.9,7.9,11.1,5,1.5,5,5.9,2.7,4.9,4.8,3.4
2020-08-01 00:00:00,0.6,-7.4,-14.5,-19.1,-5.9,-6.6,-4.8,-0.3,-6.6,-10.6,-8.5,-5.1,-6.3,-4.1
2020-09-01 00:00:00,-3.1,-1.2,1.3,10,-0.8,3.5,-0.8,-1.3,-3.5,-1.3,0.9,-1,3.2,-1.1
2020-10-01 00:00:00,5.3,5.6,14.4,14.9,7,8.2,7,0,-0.3,7,5.2,1.9,4.7,1.5
2020-11-01 00:00:00,-2,17.2,32.3,32.5,15.9,5.2,9.2,-0.5,11.5,25.6,19.4,7.8,6.6,6.7
2020-12-01 00:00:00,15,8.3,40.3,45.5,14.8,11.9,17.3,-1,-7.8,-9,-11.8,-4.1,3.3,-3.5
2021-01-01 00:00:00,-12.5,-22.9,-42.2,-49.7,-27.6,-11.2,-22.4,0.9,-0.1,-2.1,-1,1.1,-0.3,0.3
2021-02-01 00:00:00,-11.6,-10.4,-16.3,-20.9,-6.8,-9.1,-11.2,-3,0.7,1.6,2.2,-0.4,1.1,-0.8
2021-03-01 00:00:00,10.4,9.4,22.7,33.6,12,17.6,13.3,-0.9,-0.1,5.4,8.5,1.4,4.8,1.3
2021-04-01 00:00:00,-4.5,-6.1,3.9,-0.2,-5.3,-0.7,-3.5,1.4,1.5,1.2,-6.7,1.7,2.3,1.1
2021-05-01 00:00:00,2.7,4.7,5.5,0.3,5.1,0.6,3.2,1.1,-1.1,0,-0.7,0.7,0.7,0.4
2021-06-01 00:00:00,-3.2,5.8,-10.1,-2.6,-1.3,-8.6,-2.6,1.5,-1.3,-9.5,-7,-1.6,-6,-1.8
2021-07-01 00:00:00,7.3,-6.3,-18.7,-15.8,3.4,-6.7,-0.9,2.3,-2.2,-15.4,-11.4,0.6,-12.3,-2.7
2021-08-01 00:00:00,1.5,-2.7,-20.1,-21.4,0.8,-6.6,-2.7,2.1,-2.3,-15.7,-10.2,0.8,-7,-1.7
2021-09-01 00:00:00,-1.8,5.4,9.8,10.2,1.9,4.7,1.9,-1.4,4.3,5.9,-0.3,2.1,5,1.3
2021-10-01 00:00:00,4,10.8,34.5,31.3,6,16.2,9.8,-0.5,4.5,27.7,22.4,2.2,12.3,4.9
2021-11-01 00:00:00,-4,18.8,49.1,41,18.2,7.8,10.9,-2.5,11.6,38.2,26,7.3,9.3,7.3
2021-12-01 00:00:00,19.8,6,27.6,31.3,14,8.5,16.1,2.2,-9.2,-17.3,-21.3,-4,-0.7,-4.4
